全国,2008年度,全産業,総数,雇用者総数,5520,万人
全国,2007年度,全産業,総数,雇用者総数,5523,万人
全国,2006年度,全産業,総数,雇用者総数,5486,万人
全国,2005年度,全産業,総数,雇用者総数,5420,万人
全国,2004年度,全産業,総数,雇用者総数,5355,万人
全国,2003年度,全産業,総数,雇用者総数,5340,万人
全国,2002年度,全産業,総数,雇用者総数,5329,万人
全国,2001年度,全産業,総数,雇用者総数,5354,万人
全国,2000年度,全産業,総数,雇用者総数,5372,万人
全国,1999年度,全産業,総数,雇用者総数,5325,万人
全国,1998年度,全産業,総数,雇用者総数,5353,万人
全国,1997年度,全産業,総数,雇用者総数,5392,万人
全国,1996年度,全産業,総数,雇用者総数,5347,万人
全国,1995年度,全産業,総数,雇用者総数,5279,万人
全国,1994年度,全産業,総数,雇用者総数,5243,万人
全国,1993年度,全産業,総数,雇用者総数,5213,万人
全国,1992年度,全産業,総数,雇用者総数,5141,万人
全国,1991年度,全産業,総数,雇用者総数,5036,万人
全国,1990年度,全産業,総数,雇用者総数,4882,万人
全国,1989年度,全産業,総数,雇用者総数,4711,万人
全国,1988年度,全産業,総数,雇用者総数,4572,万人
全国,1987年度,全産業,総数,雇用者総数,4452,万人
全国,1986年度,全産業,総数,雇用者総数,4382,万人
全国,1985年度,全産業,総数,雇用者総数,4328,万人
全国,1984年度,全産業,総数,雇用者総数,4281,万人
全国,1983年度,全産業,総数,雇用者総数,4223,万人
全国,1982年度,全産業,総数,雇用者総数,4125,万人
全国,1981年度,全産業,総数,雇用者総数,4048,万人
全国,1980年度,全産業,総数,雇用者総数,3997,万人
全国,1979年度,全産業,総数,雇用者総数,3896,万人
全国,1978年度,全産業,総数,雇用者総数,3811,万人
全国,1977年度,全産業,総数,雇用者総数,3773,万人
全国,1976年度,全産業,総数,雇用者総数,3726,万人
全国,1975年度,全産業,総数,雇用者総数,3669,万人
全国,1974年度,全産業,総数,雇用者総数,3638,万人
全国,1973年度,全産業,総数,雇用者総数,3625,万人
全国,1972年度,全産業,総数,雇用者総数,3487,万人
全国,1971年度,全産業,総数,雇用者総数,3423,万人
全国,1970年度,全産業,総数,雇用者総数,3340,万人
全国,1969年度,全産業,総数,雇用者総数,3227,万人
全国,1968年度,全産業,総数,雇用者総数,3164,万人
全国,1967年度,全産業,総数,雇用者総数,3091,万人
全国,1966年度,全産業,総数,雇用者総数,3013,万人
全国,1965年度,全産業,総数,雇用者総数,2913,万人
全国,1964年度,全産業,総数,雇用者総数,2788,万人
全国,1963年度,全産業,総数,雇用者総数,2696,万人
全国,1962年度,全産業,総数,雇用者総数,2602,万人
全国,1961年度,全産業,総数,雇用者総数,2505,万人
全国,1960年度,全産業,総数,雇用者総数,2404,万人
全国,1959年度,全産業,総数,雇用者総数,2274,万人
全国,1958年度,全産業,総数,雇用者総数,2167,万人
全国,1957年度,全産業,総数,雇用者総数,2072,万人
全国,1956年度,全産業,総数,雇用者総数,1957,万人
全国,1955年度,全産業,総数,雇用者総数,1817,万人
全国,1954年度,全産業,総数,雇用者総数,1713,万人
全国,1953年度,全産業,総数,雇用者総数,1664,万人
